,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_learning_rate_init,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5,28.012237358093262,0.792846928307075,0.015558528900146484,0.0025705773996362747,logistic,0.001,adam,"{'activation': 'logistic', 'learning_rate_init': 0.001, 'solver': 'adam'}",0.925,0.913,0.909,0.909,0.917,0.9145999999999999,0.005986651818838311,1
6,22.12923631668091,5.6849148625173065,0.015357398986816406,0.002325710465401851,logistic,0.01,sgd,"{'activation': 'logistic', 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.921,0.911,0.914,0.896,0.919,0.9122,0.008840814442120147,2
3,131.24125208854676,3.5805003575818732,0.017554330825805663,0.001491603638335186,logistic,0.0001,adam,"{'activation': 'logistic', 'learning_rate_init': 0.0001, 'solver': 'adam'}",0.92,0.906,0.901,0.899,0.892,0.9036000000000002,0.009350935782048776,3
21,20.103327369689943,1.8579956096014916,0.016956329345703125,0.0018964304101162302,tanh,0.001,adam,"{'activation': 'tanh', 'learning_rate_init': 0.001, 'solver': 'adam'}",0.912,0.902,0.898,0.89,0.899,0.9002000000000001,0.007110555533852477,4
4,112.37961292266846,4.287000907246916,0.017749691009521486,0.0017145107858354193,logistic,0.001,sgd,"{'activation': 'logistic', 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.91,0.892,0.876,0.9,0.882,0.892,0.012198360545581537,5
20,89.26002268791198,8.03980826522419,0.017507076263427734,0.0015786129866674282,tanh,0.001,sgd,"{'activation': 'tanh', 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.903,0.887,0.884,0.89,0.886,0.89,0.006782329983125274,6
39,13.862638902664184,1.7928296160273087,0.016137313842773438,0.001096640338911245,relu,0.01,adam,"{'activation': 'relu', 'learning_rate_init': 0.01, 'solver': 'adam'}",0.869,0.871,0.884,0.873,0.88,0.8754,0.005678027826631362,7
37,8.786687707901,1.4586692313589642,0.015180301666259766,0.002118961495257077,relu,0.001,adam,"{'activation': 'relu', 'learning_rate_init': 0.001, 'solver': 'adam'}",0.877,0.86,0.878,0.864,0.876,0.8710000000000001,0.007483314773547889,8
1,126.83740372657776,8.099257298940236,0.017181205749511718,0.000775978285529145,logistic,1e-05,adam,"{'activation': 'logistic', 'learning_rate_init': 1e-05, 'solver': 'adam'}",0.882,0.869,0.863,0.871,0.861,0.8692,0.007386474125047762,9
19,125.25797319412231,11.619107052215417,0.015957117080688477,0.0020924422273283227,tanh,0.0001,adam,"{'activation': 'tanh', 'learning_rate_init': 0.0001, 'solver': 'adam'}",0.879,0.866,0.876,0.857,0.859,0.8674,0.008822698000045119,10
