,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
97,8.523406410217286,0.08123460704677568,2.2258537292480467,0.028457698338336352,0.01,0.0001,poly,"{'C': 0.01, 'gamma': 0.0001, 'kernel': 'poly'}",0.939,0.924,0.934,0.941,0.932,0.9339999999999999,0.005966573556070479,1
33,7.587464094161987,0.0650745816964148,1.9711010932922364,0.04812849601304589,0.0001,0.0001,poly,"{'C': 0.0001, 'gamma': 0.0001, 'kernel': 'poly'}",0.939,0.924,0.934,0.941,0.932,0.9339999999999999,0.005966573556070479,1
237,7.932165288925171,0.07894011100404087,2.038304328918457,0.061371249859483744,100,0.1,poly,"{'C': 100, 'gamma': 0.1, 'kernel': 'poly'}",0.939,0.924,0.934,0.941,0.932,0.9339999999999999,0.005966573556070479,1
77,7.658954620361328,0.07864992819956163,2.025824499130249,0.036797502121308036,0.001,0.1,poly,"{'C': 0.001, 'gamma': 0.1, 'kernel': 'poly'}",0.939,0.924,0.934,0.941,0.932,0.9339999999999999,0.005966573556070479,1
145,7.503777885437012,0.05325960668537535,1.9866355419158936,0.020351438086931732,0.1,0.5,poly,"{'C': 0.1, 'gamma': 0.5, 'kernel': 'poly'}",0.939,0.924,0.934,0.941,0.932,0.9339999999999999,0.005966573556070479,1
37,7.452999782562256,0.061424520820223975,1.9888012409210205,0.027694464107727183,0.0001,0.001,poly,"{'C': 0.0001, 'gamma': 0.001, 'kernel': 'poly'}",0.939,0.924,0.934,0.941,0.932,0.9339999999999999,0.005966573556070479,1
113,7.808353090286255,0.09792531549444879,2.0646379470825194,0.06370074781763169,0.01,0.5,poly,"{'C': 0.01, 'gamma': 0.5, 'kernel': 'poly'}",0.939,0.924,0.934,0.941,0.932,0.9339999999999999,0.005966573556070479,1
73,7.675642442703247,0.09242373269819151,2.0669827461242676,0.06970484937069177,0.001,0.01,poly,"{'C': 0.001, 'gamma': 0.01, 'kernel': 'poly'}",0.939,0.924,0.934,0.941,0.932,0.9339999999999999,0.005966573556070479,1
41,7.443094205856323,0.14875415113757898,1.9464130401611328,0.010427535131729962,0.0001,0.01,poly,"{'C': 0.0001, 'gamma': 0.01, 'kernel': 'poly'}",0.939,0.924,0.934,0.941,0.932,0.9339999999999999,0.005966573556070479,1
233,7.9743577003479,0.03843075527267632,2.062681531906128,0.05948890387539435,100,0.01,poly,"{'C': 100, 'gamma': 0.01, 'kernel': 'poly'}",0.939,0.924,0.934,0.941,0.932,0.9339999999999999,0.005966573556070479,1
141,7.541066884994507,0.08231079040210373,1.9885436058044434,0.0306223142512221,0.1,0.1,poly,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}",0.939,0.924,0.934,0.941,0.932,0.9339999999999999,0.005966573556070479,1
45,7.428804922103882,0.07084513409595214,1.9677642822265624,0.037377347524296244,0.0001,0.1,poly,"{'C': 0.0001, 'gamma': 0.1, 'kernel': 'poly'}",0.939,0.924,0.934,0.941,0.932,0.9339999999999999,0.005966573556070479,1
137,7.529977655410766,0.0691043419205697,1.9811527729034424,0.020176326510799026,0.1,0.01,poly,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}",0.939,0.924,0.934,0.941,0.932,0.9339999999999999,0.005966573556070479,1
125,7.520616054534912,0.040751761663494146,1.9763831615447998,0.024954252560857135,0.01,1.0,poly,"{'C': 0.01, 'gamma': 1.0, 'kernel': 'poly'}",0.939,0.924,0.934,0.941,0.932,0.9339999999999999,0.005966573556070479,1
217,7.55684642791748,0.03745361071267184,1.9935971736907958,0.053312769996538674,10,0.9,poly,"{'C': 10, 'gamma': 0.9, 'kernel': 'poly'}",0.939,0.924,0.934,0.941,0.932,0.9339999999999999,0.005966573556070479,1
49,7.396101474761963,0.044511910202565,1.9770741939544678,0.024245705204187916,0.0001,0.5,poly,"{'C': 0.0001, 'gamma': 0.5, 'kernel': 'poly'}",0.939,0.924,0.934,0.941,0.932,0.9339999999999999,0.005966573556070479,1
229,7.741565704345703,0.18476099745032235,1.9947446823120116,0.040272343626087864,100,0.001,poly,"{'C': 100, 'gamma': 0.001, 'kernel': 'poly'}",0.939,0.924,0.934,0.941,0.932,0.9339999999999999,0.005966573556070479,1
185,7.501006031036377,0.052308436700789315,1.984548282623291,0.05289610465109839,1,0.9,poly,"{'C': 1, 'gamma': 0.9, 'kernel': 'poly'}",0.939,0.924,0.934,0.941,0.932,0.9339999999999999,0.005966573556070479,1
133,7.487381792068481,0.0829158893994528,1.978156614303589,0.03453927169137711,0.1,0.001,poly,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'poly'}",0.939,0.924,0.934,0.941,0.932,0.9339999999999999,0.005966573556070479,1
69,7.899673366546631,0.25144103764038755,2.009278583526611,0.09334194037818186,0.001,0.001,poly,"{'C': 0.001, 'gamma': 0.001, 'kernel': 'poly'}",0.939,0.924,0.934,0.941,0.932,0.9339999999999999,0.005966573556070479,1
